Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2
342879,decar,44,12,23,9,90,20,24,0.45454545454545453,0.5454545454545454,6,12,2,0.24793388429752064,0.49792959773196915,0.45454545454545453,0.8863096950261455,0.3477158228045252,-0.34771582280452523
342911,seda,44,12,23,9,90,22,22,0.5,0.5,8,11,3,0.25,0.5,0.5,0.8863096950261455,0.2728535813058852,-0.2728535813058852
342921,polvoriento,44,11,23,10,90,16,28,0.36363636363636365,0.6363636363636364,6,8,2,0.23140495867768596,0.48104569292083466,0.36363636363636365,0.8863096950261455,0.2745192002548781,-0.2745192002548781
342936,barato,45,12,23,10,90,40,5,0.8888888888888888,0.1111111111111111,10,20,10,0.09876543209876544,0.3142696805273545,0.8888888888888888,0.8863096950261455,-0.10272837704051552,0.1027283770405155
342935,laúd,43,12,22,9,90,10,33,0.23255813953488372,0.7674418604651163,5,4,1,0.17847485127095727,0.42246284010662677,0.23255813953488372,0.8863096950261455,0.1277907140340636,-0.1277907140340636
342918,alegre,44,12,22,10,90,42,2,0.9545454545454546,0.045454545454545456,12,22,8,0.04338842975206612,0.20829889522526546,0.9545454545454546,0.8863096950261455,0.29430428209099063,-0.29430428209099074
342905,nevar,45,12,23,10,90,35,10,0.7777777777777778,0.2222222222222222,11,18,6,0.1728395061728395,0.41573970964154905,0.7777777777777778,0.8863096950261455,0.167257685069835,-0.167257685069835
342875,bisagra,43,12,22,9,90,13,30,0.3023255813953488,0.6976744186046512,6,6,1,0.21092482422931313,0.45926552693329065,0.3023255813953488,0.8863096950261455,0.2784308168390322,-0.2784308168390322
342929,tropaje,45,12,23,10,90,27,18,0.6,0.4,7,13,7,0.24000000000000002,0.48989794855663565,0.6,0.8863096950261455,0.003041551596808038,-0.003041551596808038
342896,martillo,45,12,23,10,90,26,19,0.5777777777777777,0.4222222222222222,9,12,5,0.24395061728395062,0.4939135726865082,0.5777777777777777,0.8863096950261455,0.285592589142392,-0.285592589142392
